Hora,Atividade,Local
09:00 – 09:30,Abertura,Youtube
09:30 – 11:00,T1 | T2,Zoom
11:00 – 12:30,T3 | T4,Zoom
12:30 – 14:00,Almoço,NA
14:00 – 15:00,KS,Youtube
15:00 – 15:15,A1,Youtube
15:15 – 15:30,A2,Youtube
15:30 – 15:45,A3,Youtube
15:35 – 16:00,A4,Youtube
16:00 – 17:00,KS,Youtube
17:00 – 17:15,A5,Youtube
17:15 – 17:30,A6,Youtube
17:30 – 17:45,A7,Youtube
17:45 – 18:00,A8,Youtube
18:00 – 19:00,KS,Youtube
19:00 – 19:30,Encerramento,Youtube
19:30 – 21:00,T5 | T6,Zoom
21:00 – 22:30,T7 | T8,Zoom
